Date : 2025-04-09 14:59:20
Directory : d:\demo\Back-End\Cukcuk.Api
Total : 78 files,  7639 codes, 34 comments, 1010 blanks, all 8683 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.EntityFrameworkCore.targets                                | XML          |        -28 |          0 |         -1 |        -29 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.nuget.dgspec.json                                          | JSON         |       -234 |          0 |          0 |       -234 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.nuget.g.props                                              | XML          |        -25 |          0 |          0 |        -25 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Cukcuk.Infrastructure.csproj.nuget.g.targets                                            | XML          |         -9 |          0 |          0 |         -9 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                             | C#           |         -3 |         -1 |         -1 |         -5 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.AssemblyInfo.cs                                      | C#           |         -9 |        -10 |         -5 |        -24 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.GeneratedMSBuildEditorConfig.editorconfig            | EditorConfig |        -15 |          0 |         -1 |        -16 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.GlobalUsings.g.cs                                    | C#           |         -7 |         -1 |         -1 |         -9 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Debug\net8.0\Cukcuk.Infrastructure.sourcelink.json                                      | JSON         |         -1 |          0 |          0 |         -1 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                           | C#           |         -3 |         -1 |         -1 |         -5 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\Cukcuk.Infrastructure.AssemblyInfo.cs                                    | C#           |         -9 |        -10 |         -5 |        -24 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\Cukcuk.Infrastructure.GeneratedMSBuildEditorConfig.editorconfig          | EditorConfig |        -13 |          0 |         -1 |        -14 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\Release\net8.0\Cukcuk.Infrastructure.GlobalUsings.g.cs                                  | C#           |         -7 |         -1 |         -1 |         -9 |
| d:\demo\Back-End\Cukcuk.Infrastructure\obj\project.assets.json                                                                     | JSON         |     -9,801 |          0 |          0 |     -9,801 |
| Total                                                                                                                              |              |      7,639 |         34 |      1,010 |      8,683 |
+------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
